address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing
"Apartamento en venta en el batán, bogotá",VENTA,3.0,False,0.0,0.0,4,3.0,2,False,False,True,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 3.0, ""price_per_m2"": 280.0, ""total_area"": 3.0, ""total_price_per_m2"": 280.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en el batán, bogotá",VENTA,3.0,False,0.0,0.0,4,3.0,2,False,False,True,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 3.0, ""price_per_m2"": 280.0, ""total_area"": 3.0, ""total_price_per_m2"": 280.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en bella suiza, bogotá",VENTA,112.0,True,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 112.0, ""price_per_m2"": 0.0, ""total_area"": 112.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en bella suiza, bogotá",VENTA,112.0,True,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 112.0, ""price_per_m2"": 0.0, ""total_area"": 112.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,122.0,True,0.0,0.0,0,4.0,9,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 122.0, ""price_per_m2"": 0.0, ""total_area"": 122.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,122.0,True,0.0,0.0,0,4.0,9,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 122.0, ""price_per_m2"": 0.0, ""total_area"": 122.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,98.0,False,0.0,0.0,0,2.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 98.0, ""price_per_m2"": 0.0, ""total_area"": 98.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,98.0,False,0.0,0.0,0,2.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 98.0, ""price_per_m2"": 0.0, ""total_area"": 98.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en el nogal, bogotá",VENTA,133.0,False,0.0,0.0,3,2.0,1,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 133.0, ""price_per_m2"": 0.0, ""total_area"": 133.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en el nogal, bogotá",VENTA,133.0,False,0.0,0.0,3,2.0,1,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 133.0, ""price_per_m2"": 0.0, ""total_area"": 133.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,115.0,False,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,True,3,3,3,5,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,115.0,False,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,True,3,3,3,5,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,134.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 134.0, ""price_per_m2"": 0.0, ""total_area"": 134.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,134.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 134.0, ""price_per_m2"": 0.0, ""total_area"": 134.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en nicolas de federman, bogotá",VENTA,97.0,False,0.0,0.0,3,2.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 97.0, ""price_per_m2"": 0.0, ""total_area"": 97.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en nicolas de federman, bogotá",VENTA,97.0,False,0.0,0.0,3,2.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 97.0, ""price_per_m2"": 0.0, ""total_area"": 97.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chico norte, bogotá",VENTA,144.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 144.0, ""price_per_m2"": 0.0, ""total_area"": 144.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chico norte, bogotá",VENTA,144.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 144.0, ""price_per_m2"": 0.0, ""total_area"": 144.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en bella suiza, bogotá",VENTA,115.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
